user_id,product_id,viewed,clicked,purchased
141,248,1,0,0
959,44,1,1,1
81,207,1,1,0
375,137,1,0,0
634,464,1,0,0
490,38,0,1,1
968,83,1,1,0
910,363,1,0,0
982,218,1,0,0
270,10,1,1,0
960,255,1,1,0
790,54,0,1,1
256,136,1,1,0
46,223,1,0,0
925,10,0,1,0
441,58,1,1,0
615,203,1,0,0
616,5,1,0,0
456,94,1,0,0
703,87,1,0,0
314,453,0,0,0
987,452,1,0,0
145,24,1,0,0
587,489,1,1,0
166,194,1,0,0
635,236,1,0,0
225,255,1,0,0
819,359,1,0,0
159,29,1,0,0
65,226,1,1,0
84,176,1,0,1
922,162,1,0,0
68,79,1,1,0
519,471,1,0,0
350,30,1,0,0
26,372,1,0,0
416,116,1,0,1
357,460,1,0,0
607,276,1,1,0
380,184,1,0,0
506,135,1,1,0
403,69,1,0,0
502,1,0,0,0
590,466,1,0,0
894,280,1,0,0
866,209,0,1,1
579,148,1,1,0
646,191,1,1,1
529,17,1,0,0
716,429,1,0,0
624,159,1,0,0
296,158,1,1,1
488,19,1,1,0
432,320,1,1,0
820,169,1,0,0
360,249,1,0,1
742,204,1,1,0
426,257,1,1,0
683,401,1,1,0
737,127,1,1,1
510,301,1,1,0
692,117,0,0,0
894,3,0,0,0
30,166,1,1,0
478,95,1,0,0
514,431,1,1,0
504,420,1,1,0
692,405,1,0,0
603,226,1,0,0
223,119,1,0,0
736,234,1,1,0
429,447,0,0,0
201,232,1,0,0
24,321,1,0,0
672,495,1,0,0
74,245,0,1,0
117,104,1,1,0
527,283,1,1,0
385,436,1,1,1
676,155,1,0,0
577,222,1,1,0
203,361,1,1,0
673,57,1,1,0
508,486,1,1,1
300,320,1,0,1
926,333,1,0,0
542,292,1,1,0
480,119,1,1,0
959,246,1,1,1
722,200,1,0,0
626,127,1,0,1
62,388,1,1,0
431,423,1,0,1
560,46,1,0,1
402,324,0,0,1
769,62,0,1,0
525,242,1,0,0
592,461,1,1,0
5,442,1,0,0
821,181,1,0,1
566,88,1,0,1
856,195,0,0,0
699,143,1,0,1
299,220,1,1,0
160,170,1,0,1
810,450,1,0,0
342,215,1,0,0
218,185,1,1,0
257,183,1,1,0
667,301,0,1,1
294,30,1,0,0
613,268,1,0,0
498,334,1,0,0
611,282,1,1,0
650,236,1,0,0
342,190,1,0,0
377,308,0,0,1
552,260,0,1,0
384,375,1,0,0
988,114,1,1,0
957,264,0,1,0
927,321,1,0,0
811,455,0,1,0
432,222,1,1,0
931,334,1,1,0
968,247,1,1,0
632,46,0,1,1
565,143,1,1,0
319,350,1,1,1
803,363,1,0,1
960,109,1,0,0
620,377,1,1,0
765,376,1,0,0
813,265,1,1,0
279,442,0,0,0
441,202,0,1,0
282,103,1,1,1
610,260,1,1,0
718,463,1,0,0
429,356,0,0,0
399,286,1,0,0
380,342,1,1,0
93,470,0,1,1
87,297,1,0,0
456,169,0,1,0
845,178,0,1,1
220,466,1,1,0
667,282,1,0,0
251,481,0,0,0
705,37,0,1,1
35,456,1,0,1
668,466,1,0,1
369,140,1,1,1
566,392,1,0,0
144,227,1,0,1
8,11,1,0,0
743,348,1,0,0
157,341,1,0,0
439,166,1,1,0
493,329,1,1,0
968,423,0,1,0
384,437,1,0,0
18,425,1,1,0
790,345,1,1,1
991,138,1,1,0
455,89,0,1,1
392,159,0,0,0
531,86,1,1,0
150,254,1,0,0
775,277,1,0,0
318,178,0,0,0
517,29,1,1,1
382,475,1,0,0
289,11,1,0,0
789,320,1,0,0
864,46,1,0,0
313,456,0,0,0
29,41,1,0,0
863,277,1,1,0
730,191,0,1,0
339,202,1,0,0
15,471,1,1,0
516,343,1,0,0
428,59,1,0,0
198,70,0,0,0
112,140,1,1,0
1000,492,1,0,0
347,75,0,0,0
797,269,1,0,0
915,314,1,1,1
714,206,1,0,1
222,18,1,1,0
288,294,1,0,0
538,100,0,0,1
750,73,1,0,0
187,44,1,1,0
638,128,1,0,0
408,65,1,1,0
833,296,1,1,0
395,344,1,0,0
720,95,1,0,0
574,342,1,0,0
873,116,1,1,0
552,359,1,0,1
913,376,1,0,0
212,277,0,1,1
797,147,0,0,1
977,223,0,0,1
843,251,1,0,0
775,480,1,0,0
372,352,0,0,0
49,488,1,1,1
281,57,1,1,0
724,395,1,0,0
190,104,1,0,1
887,130,1,1,0
649,294,1,0,0
418,431,0,0,0
71,41,1,1,0
797,229,1,0,0
39,26,1,1,0
777,496,1,1,0
777,210,1,1,0
493,94,0,1,0
577,13,1,1,0
322,2,1,0,0
718,175,1,1,0
676,465,1,0,0
632,219,1,0,0
805,273,0,1,0
313,386,1,0,1
659,75,0,1,0
88,462,1,0,0
181,161,1,0,1
791,325,1,1,0
522,21,1,0,0
252,154,0,0,0
335,490,1,1,1
498,454,1,1,0
69,270,0,1,0
924,141,1,1,1
127,18,1,0,0
813,28,1,0,0
272,341,1,0,1
702,259,1,0,1
750,237,1,0,0
29,6,1,1,0
285,148,1,0,0
956,225,0,0,0
791,143,0,1,0
798,484,1,1,0
490,294,1,0,0
394,181,1,1,0
15,347,1,0,0
16,489,1,0,0
806,324,1,0,1
850,378,1,1,0
460,375,1,0,0
142,152,1,1,0
482,400,1,1,0
386,96,1,1,1
366,96,1,1,0
367,379,1,1,0
763,112,1,1,1
8,477,0,0,0
739,470,0,1,0
901,456,1,0,0
831,407,1,1,1
293,479,0,0,0
301,222,1,1,0
730,155,1,0,0
748,93,1,0,0
460,122,1,0,0
425,408,1,1,1
556,293,1,1,0
893,475,0,0,0
903,311,1,0,1
145,291,1,0,1
439,51,1,0,1
51,452,1,1,0
46,12,0,1,0
101,386,0,1,1
957,335,1,1,1
338,289,0,1,0
997,407,0,1,1
474,431,1,0,0
140,88,0,1,0
677,448,0,0,0
807,57,1,0,1
541,454,0,0,1
63,448,0,0,0
940,462,1,0,0
545,173,1,1,1
823,204,1,1,1
183,228,1,0,1
991,422,1,1,0
288,87,1,1,0
323,176,0,1,0
68,283,1,0,0
537,110,1,1,1
964,198,1,0,0
346,212,1,0,0
95,142,0,0,0
668,47,1,1,0
368,266,1,0,0
711,29,1,0,0
575,271,0,0,0
120,142,1,1,0
318,369,1,1,1
72,75,1,1,0
180,431,1,0,0
310,486,1,1,0
537,248,1,0,0
872,112,1,1,0
733,78,1,1,0
257,105,1,1,0
783,205,1,0,0
6,275,1,0,0
721,115,1,1,0
186,145,1,1,0
973,73,1,0,0
396,424,1,1,0
788,12,1,0,1
329,287,1,1,0
526,362,1,0,1
903,433,1,0,0
524,380,0,1,0
184,211,1,0,0
312,371,1,0,1
768,264,1,1,1
512,251,1,0,0
705,323,0,0,0
179,4,1,0,0
236,71,1,0,0
268,118,1,0,0
137,121,1,1,0
328,458,1,0,0
632,119,1,0,1
695,186,0,1,0
498,419,1,0,0
643,495,1,0,0
348,166,1,0,1
947,375,1,1,0
580,450,1,0,0
514,81,1,1,0
970,87,1,0,0
336,267,1,0,0
12,337,1,1,1
414,358,1,0,0
280,15,1,0,0
363,241,1,0,0
754,36,1,0,1
925,184,0,1,0
642,378,1,1,0
907,447,1,1,1
94,308,1,1,0
343,101,1,0,0
538,303,1,1,0
514,150,1,0,0
345,309,1,1,0
310,281,1,0,0
776,273,1,0,0
266,186,1,0,0
478,44,1,1,0
756,207,1,1,0
631,274,1,1,0
910,456,1,1,0
580,180,1,1,0
315,116,0,1,0
300,443,0,1,0
84,114,1,1,1
306,474,0,0,0
632,494,0,0,1
704,13,1,0,0
151,185,1,0,0
176,453,1,1,0
418,292,1,1,1
642,481,1,1,0
808,255,1,0,1
694,386,1,0,0
467,153,1,1,0
893,47,0,0,0
127,326,1,0,0
157,350,1,1,0
833,290,1,1,0
589,378,0,1,0
885,28,0,0,0
880,237,1,1,0
557,374,1,0,0
74,389,1,1,0
303,76,0,0,0
343,297,1,0,0
244,105,1,0,1
33,214,1,0,0
499,250,0,1,1
420,294,1,1,0
604,284,1,0,1
343,82,1,0,0
408,331,1,1,0
775,341,1,0,0
796,300,1,1,0
332,416,1,1,0
379,453,1,0,0
359,32,1,0,0
460,168,1,1,1
960,447,1,0,1
22,214,1,1,0
602,425,1,0,0
950,91,1,0,0
619,292,1,0,1
718,254,1,0,0
233,102,1,0,0
909,404,0,0,0
616,370,1,0,0
416,126,1,0,0
88,74,1,0,0
520,299,0,0,1
948,319,1,1,1
159,467,1,0,1
176,114,1,0,0
567,160,1,0,1
926,13,1,1,0
578,474,0,1,0
286,345,1,0,0
308,323,1,1,1
562,305,0,0,0
831,251,0,1,0
672,239,1,0,0
538,485,1,0,0
799,232,0,0,0
229,278,1,0,0
363,384,1,0,1
565,24,1,1,0
825,364,1,0,1
537,268,1,0,0
541,443,1,0,1
610,89,1,1,0
184,147,1,1,0
672,451,0,1,0
298,36,1,0,1
593,444,1,1,0
270,52,1,0,0
808,95,1,0,1
117,313,0,0,0
549,469,1,1,0
124,24,1,1,0
427,494,1,1,1
237,324,1,0,1
5,252,1,0,1
180,349,0,1,0
757,42,1,0,0
11,168,1,0,0
173,333,1,1,1
640,483,1,1,0
157,186,1,0,0
653,227,1,0,0
177,316,1,0,0
60,263,0,1,1
542,379,0,0,1
337,350,1,0,1
385,189,1,0,0
348,343,1,0,1
39,276,1,1,0
132,6,1,0,0
248,95,1,1,1
587,223,1,0,1
337,443,0,0,1
533,284,1,1,1
553,299,1,0,0
407,486,1,1,1
591,238,1,1,0
986,215,0,0,0
58,462,1,0,0
107,85,1,1,1
826,483,0,0,1
146,386,0,0,1
635,178,1,0,0
988,71,0,0,0
775,67,1,1,0
784,56,1,0,0
96,237,1,0,1
485,317,1,1,0
227,163,1,0,1
515,155,1,1,0
909,102,1,0,0
482,355,1,0,1
729,142,1,0,1
797,289,1,1,1
636,394,0,1,0
242,160,1,0,1
45,415,1,1,1
673,197,1,0,0
473,284,1,0,0
525,41,0,1,0
24,352,1,1,0
73,262,1,1,1
330,325,1,0,0
483,127,1,0,0
285,87,0,1,1
830,376,1,1,0
127,79,0,0,0
607,7,1,1,1
447,98,1,0,1
791,443,1,0,0
611,416,1,1,1
369,343,1,0,1
302,273,1,0,0
243,389,1,0,0
295,303,1,0,0
149,372,1,1,1
559,436,1,1,0
561,232,1,1,0
985,472,1,1,0
